,MovieCode,MovieName,CompanyName,BestScreenNum,AverageShare,TotalScreenNum,TotalAudienceNum
0,20150976,신과함께-죄와 벌,"롯데쇼핑㈜롯데엔터테인먼트  Lotte shopping Lotte Entertainment Co.,Ltd",1644,0.13881600000000002,34693,14401320
1,20170590,1987,씨제이이앤엠(주)  CJ ENM Corp.,1122,0.15246052631578955,28978,7201219
2,20170402,강철비,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,602,0.0766875,6047,4445402
3,20179462,위대한 쇼맨,이십세기폭스코리아(주)  20th Century Fox Korea,444,0.04070882352941177,6885,1384212
4,20174965,극장판 포켓몬스터 너로 정했다!,(주)이수C&E  ,417,0.039110000000000006,1914,504883
5,20176082,몬스터 패밀리,씨네그루(주)키다리이엔티  KIDARI ENT,342,0.050199999999999995,738,384279
6,20176947,원더,CGV아트하우스  CGV ARTHOUSE,183,0.022054545454545462,2388,212657
7,20174846,뽀로로 극장판 공룡섬 대모험,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,195,0.02158888888888889,955,815050
8,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,(주)박수엔터테인먼트  Boxoo Entertainment  ,166,0.03195,314,45695
9,20170443,스타워즈: 라스트 제다이,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,37,0.007299999999999999,72,952759
10,20171909,쥬만지: 새로운 세계,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,791,0.11762857142857139,12230,1699721
11,20177104,페르디난드,이십세기폭스코리아(주)  20th Century Fox Korea,698,0.09142666666666667,6813,512182
12,20161872,너의 이름은.,메가박스중앙(주)플러스엠  Megabox Plus M,121,0.02206,550,3708926
13,20179985,코코,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,1177,0.12331599999999997,31061,3501751
14,20176104,그것만이 내 세상,씨제이이앤엠(주)  CJ ENM Corp.,956,0.1282538461538462,25109,3388251
15,20173547,다운사이징,"롯데쇼핑㈜롯데엔터테인먼트  Lotte shopping Lotte Entertainment Co.,Ltd",511,0.09135,2846,144691
16,20177602,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,390,0.0667,1426,22051
17,20179286,하이큐!! 콘셉트의 싸움,(주)팝엔터테인먼트  Pop Entertainment,97,0.0191,97,3869
18,20175054,메이즈 러너: 데스 큐어,이십세기폭스코리아(주)  20th Century Fox Korea,1090,0.12281428571428565,17193,2296713
19,20178228,다키스트 아워,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,217,0.0458,217,2902
20,20189525,젝스키스 에이틴,씨제이 씨지브이(CJ CGV)(주)  CJ CGV,25,0.00504,121,23053
21,20178808,주문은 토끼입니까?? ~디어 마이 시스터~,(주)애니플러스  ANIPLUS,79,0.0166,79,6659
22,20173662,리틀 뱀파이어,(주)이수C&E  ,213,0.041100000000000005,1186,20555
23,20178230,커뮤터,메가박스중앙(주)플러스엠  Megabox Plus M,575,0.0856888888888889,4048,264304
24,20168161,1급기밀,(주)리틀빅픽쳐스  Little Big Pictures,512,0.083825,3527,200100
25,20177473,비밥바룰라,씨네그루(주)키다리이엔티  KIDARI ENT,347,0.0606,2226,41206
26,20178444,극장판 레이디버그: 미라클스톤의 비밀,(주)삼지애니메이션  SAMG Animation,305,0.051925,1144,26133
27,20179205,조선명탐정: 흡혈괴마의 비밀,(주)쇼박스  Showbox Corp,1249,0.14892083333333336,17313,2427333
28,20168323,염력,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,1099,0.14710714285714288,10362,985314
29,20178126,인시디어스4: 라스트 키,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,769,0.10460000000000001,7893,545370
30,20178395,12 솔져스,(주)제이앤씨미디어그룹  ,211,0.03857857142857143,2698,215563
31,20179228,마야2,(주)영화사 빅  Big Film,429,0.067525,1446,55217
32,20178469,올 더 머니,판씨네마(주)  Pancinema Corp.,260,0.0479,1480,49307
33,19980074,타이타닉,씨네힐  CINEHILL,94,0.0196,94,394492
34,20189901,더 포리너,(주)더블앤조이픽쳐스  ,156,0.0315,603,35694
35,20178672,패딩턴 2,(주)이수C&E  ,629,0.0684809523809524,6964,320132
36,20189761,터닝메카드W: 반다인의 비밀 특별판,(주)제이앤씨미디어그룹  ,168,0.03225,334,17689
37,20170841,리틀 포레스트,메가박스중앙(주)플러스엠  Megabox Plus M,884,0.11063421052631568,18149,1500504
38,20170561,블랙 팬서,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,1620,0.1890161290322581,27212,5378683
39,20168250,골든슬럼버,씨제이이앤엠(주)  CJ ENM Corp.,833,0.14871428571428572,9975,1369546
